                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12722,                0.12623,                0.02535,               0.035099,              0.0037576,                0.33333,              0.0065979,              0.0015541,               0.018578,               0.083333,              0.0097443,              0.0040212,                0.11211,               0.038274,               0.017017,               0.031342,                 0.0874,                 0.0014,                 0.0014
                      1,                0.10547,               0.038797,               0.027992,               0.028341,                0.57507,                0.11111,               0.083982,               0.020185,                0.63227,                0.18014,                0.21796,               0.079014,               0.098815,                0.01511,               0.015758,               0.017682,               0.073897,              0.0028971,              0.0028971
                      2,               0.085703,               0.018189,                0.02763,               0.019767,               0.092487,                0.41667,                0.14925,               0.041226,                0.47868,                    0.5,                0.32968,                0.18797,               0.082975,               0.012172,               0.015146,               0.013693,               0.060391,              0.0043913,              0.0043913
                      3,               0.075376,               0.014697,               0.024363,               0.017054,                0.68876,                0.22222,                0.23578,               0.042626,                0.44146,                0.87774,                0.73141,                0.40771,               0.083442,                0.01067,               0.013287,               0.010085,               0.046882,              0.0058825,              0.0058825
                      4,               0.073344,               0.017758,               0.023484,               0.016066,                0.73905,                0.38889,                0.34659,                0.12186,                0.72761,                0.44444,                0.39031,                0.25416,               0.068023,               0.010016,               0.013291,              0.0084694,               0.033371,              0.0073707,              0.0073707
                      5,               0.070549,               0.013656,               0.021848,               0.014704,                 0.3404,                0.55556,                0.47703,                0.18116,                 0.3818,                0.69444,                0.56151,                0.43016,               0.074023,               0.010299,               0.011686,                0.00905,               0.019856,              0.0088559,              0.0088559
                      6,               0.071717,               0.014209,               0.020776,                0.01287,                0.37979,                0.58055,                0.35745,               0.063707,                 0.8748,                0.41583,                0.85617,                0.45886,               0.077153,               0.012294,               0.014669,              0.0074921,              0.0099406,              0.0099406,              0.0099406
                      7,               0.065734,               0.016621,               0.019544,                 0.0137,                0.40384,                0.66667,                0.69315,                0.20814,                0.50158,                 0.8199,                0.87591,                0.59438,               0.065675,              0.0087024,               0.011197,              0.0052742,              0.0099406,              0.0099406,              0.0099406
                      8,               0.062042,               0.012519,               0.018759,                0.01159,                0.50713,                0.72222,                0.55446,                0.22651,                0.50941,                   0.75,                0.70704,                0.51188,               0.076981,              0.0092431,                0.01042,              0.0030434,              0.0099307,              0.0099307,              0.0099307
                      9,               0.059676,               0.013076,               0.017603,               0.009599,                 0.2939,                0.94444,                0.62052,                0.26548,                0.44975,                0.80556,                0.77796,                0.56191,               0.062492,              0.0088038,                0.01018,              0.0027973,              0.0099208,              0.0099208,              0.0099208
                     10,               0.055321,               0.013235,               0.017641,              0.0074867,                0.79457,                0.39857,                0.51365,                0.20703,                0.27749,                0.77778,                 0.6213,                0.39361,               0.055749,              0.0086982,               0.011341,              0.0040962,              0.0099109,              0.0099109,              0.0099109
                     11,               0.054303,               0.011736,               0.015915,              0.0071297,                0.75423,                0.56894,                0.59096,                0.30538,                0.78798,                0.62536,                0.66533,                0.43922,               0.057025,              0.0082009,              0.0088758,              0.0024014,               0.009901,               0.009901,               0.009901
                     12,               0.051286,               0.012558,               0.016877,              0.0082296,                 0.8408,                0.80556,                0.85592,                 0.4299,                 0.8408,                0.80556,                0.90477,                 0.7061,                0.04519,              0.0090318,              0.0082712,              0.0015518,              0.0098911,              0.0098911,              0.0098911
                     13,               0.048063,               0.012596,               0.014498,                0.00559,                0.75363,                   0.75,                0.81566,                0.43555,                0.75363,                   0.75,                0.82135,                0.62578,               0.045543,              0.0084856,              0.0076723,              0.0016735,              0.0098812,              0.0098812,              0.0098812
                     14,               0.044337,               0.011746,               0.014829,              0.0067474,                0.56785,                0.82611,                0.77749,                0.46537,                0.59737,                   0.75,                0.77004,                0.58044,                0.04581,              0.0084504,              0.0072145,               0.008181,              0.0098713,              0.0098713,              0.0098713
                     15,               0.049278,               0.011765,                0.01291,              0.0058975,                 0.7662,                0.87574,                0.88281,                0.49734,                 0.7662,                0.87574,                0.86462,                 0.6745,               0.038866,              0.0094504,              0.0071182,              0.0020359,              0.0098614,              0.0098614,              0.0098614
                     16,               0.046183,               0.012116,               0.014748,              0.0060332,                0.47132,                 0.8615,                 0.6756,                0.31435,                0.51351,                0.94112,                 0.7079,                0.50997,                0.04797,               0.010117,              0.0075903,              0.0029427,              0.0098515,              0.0098515,              0.0098515
                     17,               0.042746,               0.012228,               0.014837,              0.0064228,                0.67676,                0.86111,                0.79108,                0.43593,                0.67676,                0.86111,                0.82317,                0.60001,               0.039536,              0.0082379,              0.0061655,              0.0052376,              0.0098416,              0.0098416,              0.0098416
                     18,                 0.0419,               0.011694,                0.01304,              0.0051585,                0.70921,                0.97222,                0.82609,                0.40423,                0.75311,                0.97222,                0.85566,                0.61466,               0.040643,              0.0080787,              0.0056973,              0.0016872,              0.0098317,              0.0098317,              0.0098317
                     19,               0.040459,               0.011814,               0.012049,              0.0056425,                0.79039,                0.95455,                0.86474,                0.46781,                0.78223,                0.94444,                0.85929,                 0.6247,               0.039931,              0.0080834,              0.0059509,              0.0012527,              0.0098218,              0.0098218,              0.0098218
                     20,                0.04175,               0.012748,               0.012417,              0.0039932,                0.70381,                0.55556,                  0.625,                0.33932,                0.68629,                0.52778,                0.60537,                0.40487,               0.049906,               0.013734,              0.0086908,               0.020154,              0.0098119,              0.0098119,              0.0098119
                     21,               0.039709,               0.012658,               0.012361,              0.0045164,                0.51064,                0.94444,                0.75856,                0.49058,                0.49535,                0.91667,                0.74739,                0.57678,               0.040706,              0.0083439,              0.0066509,              0.0039307,               0.009802,               0.009802,               0.009802
                     22,               0.040465,               0.010413,               0.011811,              0.0045363,                0.81568,                0.83661,                0.90119,                0.44579,                 0.8659,                0.88927,                0.92088,                0.63189,               0.042924,              0.0078368,              0.0063314,              0.0017956,              0.0097921,              0.0097921,              0.0097921
                     23,               0.039805,                 0.0109,               0.012457,              0.0046239,                0.74232,                0.88889,                0.85442,                0.41802,                0.74232,                0.88889,                0.85176,                0.60475,               0.037702,               0.007351,              0.0066957,              0.0015295,              0.0097822,              0.0097822,              0.0097822
                     24,               0.038909,               0.011838,               0.012324,              0.0039156,                0.88492,                0.94444,                 0.9596,                 0.4588,                0.88492,                0.94444,                0.95279,                0.76224,               0.034031,              0.0073872,              0.0065875,              0.0018238,              0.0097723,              0.0097723,              0.0097723
                     25,                0.03494,               0.011831,               0.012006,               0.006471,                 0.8934,                0.69257,                0.89613,                0.49356,                 0.8934,                0.69257,                 0.8895,                 0.6445,               0.036298,              0.0078433,              0.0067215,              0.0014326,              0.0097624,              0.0097624,              0.0097624
                     26,               0.037764,               0.012086,               0.012666,              0.0046337,                0.68967,                0.83943,                0.85176,                0.43348,                0.68967,                0.83943,                0.85176,                 0.5761,                0.03244,              0.0085772,              0.0066442,               0.010337,              0.0097525,              0.0097525,              0.0097525
                     27,               0.035215,               0.011525,               0.011525,              0.0056092,                0.72097,                0.85292,                0.78445,                0.53516,                0.67497,                0.76404,                 0.7427,                0.45447,               0.030151,               0.014626,              0.0082006,              0.0027935,              0.0097426,              0.0097426,              0.0097426
                     28,               0.035312,               0.011181,               0.011677,              0.0057458,                0.50537,                0.48273,                0.52813,                0.27356,                0.60131,                0.53366,                0.55687,                0.34441,               0.039406,               0.016551,              0.0096111,               0.041943,              0.0097327,              0.0097327,              0.0097327
                     29,               0.035961,               0.011731,               0.012212,              0.0042981,                0.86853,                 0.9039,                0.93909,                0.52793,                0.86853,                 0.9039,                 0.9248,                0.74151,               0.035767,              0.0097666,              0.0066414,              0.0013424,              0.0097228,              0.0097228,              0.0097228
                     30,               0.037049,               0.010913,               0.011361,              0.0042785,                0.91287,                0.85316,                0.96581,                 0.5794,                0.91287,                0.85316,                0.96747,                0.77663,               0.030963,              0.0079667,              0.0058489,              0.0016323,              0.0097129,              0.0097129,              0.0097129
                     31,               0.038265,               0.010942,               0.011536,              0.0040963,                0.93638,                0.88726,                0.97826,                0.57797,                0.93638,                0.88726,                0.97826,                0.77899,               0.030893,               0.007755,              0.0061989,              0.0012863,               0.009703,               0.009703,               0.009703
                     32,               0.037771,               0.011637,                0.01084,               0.004822,                0.73326,                0.94444,                  0.907,                0.51696,                0.73326,                0.94444,                 0.8887,                0.67789,               0.034177,              0.0078007,              0.0061221,              0.0011187,              0.0096931,              0.0096931,              0.0096931
                     33,                0.03689,               0.010659,               0.010679,              0.0037565,                0.96285,                0.85997,                0.96395,                0.59439,                0.96285,                0.85997,                 0.9602,                0.79663,               0.030564,               0.007562,              0.0062304,              0.0012022,              0.0096832,              0.0096832,              0.0096832
                     34,               0.034114,               0.012421,                0.01101,                0.00465,                0.90666,                0.93253,                0.97347,                0.58292,                0.90666,                0.93253,                0.97347,                0.78579,               0.031333,              0.0082159,              0.0057292,               0.001116,              0.0096733,              0.0096733,              0.0096733
                     35,               0.034925,               0.010956,               0.010923,              0.0038391,                0.92281,                0.90444,                0.97856,                0.65461,                0.92281,                0.90444,                0.97856,                0.76816,               0.028436,              0.0082003,              0.0053945,              0.0022102,              0.0096634,              0.0096634,              0.0096634
                     36,               0.033827,               0.011297,               0.011133,              0.0043593,                0.92456,                      1,                  0.973,                0.60402,                0.92456,                      1,                  0.973,                0.74669,               0.031975,              0.0079906,              0.0054379,              0.0012226,              0.0096535,              0.0096535,              0.0096535
                     37,               0.033398,               0.011311,               0.011454,              0.0030747,                 0.8457,                0.99901,                0.96567,                0.61019,                 0.8457,                0.99901,                0.96567,                0.76434,               0.029909,              0.0080399,              0.0050106,              0.0014584,              0.0096436,              0.0096436,              0.0096436
                     38,               0.033065,               0.011356,               0.010923,              0.0031009,                0.83657,                0.94444,                0.96708,                0.67811,                0.83657,                0.94444,                0.96708,                0.75901,               0.029087,              0.0078375,              0.0052304,              0.0014444,              0.0096337,              0.0096337,              0.0096337
                     39,               0.034059,               0.011721,               0.010712,              0.0034116,                0.93432,                0.91667,                0.98034,                0.68585,                0.93432,                0.91667,                0.98034,                0.75661,               0.025864,               0.007895,              0.0050783,              0.0011711,              0.0096238,              0.0096238,              0.0096238
                     40,               0.033983,               0.012176,               0.010428,              0.0042971,                0.93932,                0.84715,                0.95381,                0.65701,                0.93932,                0.84715,                0.95381,                0.69662,               0.030323,              0.0078714,              0.0059357,              0.0012714,              0.0096139,              0.0096139,              0.0096139
                     41,               0.033356,               0.011871,               0.010879,              0.0031188,                0.88859,                0.94444,                0.97948,                 0.6307,                0.88859,                0.94444,                0.97948,                0.74915,               0.028966,               0.007744,              0.0048757,              0.0012663,               0.009604,               0.009604,               0.009604
                     42,               0.030562,               0.011996,               0.010159,              0.0034935,                0.87818,                0.85881,                0.95702,                0.66173,                0.87818,                0.85881,                0.95702,                0.79018,               0.023669,              0.0075264,              0.0055285,               0.003635,              0.0095941,              0.0095941,              0.0095941
                     43,               0.031733,               0.010713,              0.0091663,              0.0035195,                0.88808,                0.88457,                0.97036,                0.62224,                0.88808,                0.88457,                0.97036,                0.75894,               0.026704,              0.0072929,              0.0051794,              0.0050543,              0.0095842,              0.0095842,              0.0095842
                     44,               0.031319,               0.011202,                0.01038,              0.0025169,                0.91737,                0.91362,                0.97567,                0.63212,                0.91737,                0.91362,                0.97567,                0.76452,               0.030889,              0.0074641,              0.0060277,              0.0023186,              0.0095743,              0.0095743,              0.0095743
                     45,               0.031474,               0.011599,               0.011538,              0.0035936,                0.82962,                0.94444,                0.93966,                0.64868,                0.82962,                0.94444,                0.93966,                0.73225,                0.02733,              0.0079861,              0.0059528,              0.0031548,              0.0095644,              0.0095644,              0.0095644
                     46,               0.033727,               0.010041,              0.0096519,              0.0038406,                0.95965,                0.83333,                 0.9516,                0.61927,                0.95965,                0.83333,                 0.9498,                0.70682,               0.033577,              0.0083126,              0.0059528,              0.0022335,              0.0095545,              0.0095545,              0.0095545
                     47,               0.031724,               0.011229,              0.0097649,              0.0032344,                0.86498,                0.93347,                0.96641,                0.61098,                0.86498,                0.93347,                0.96641,                 0.7197,                0.03174,              0.0073238,              0.0061059,              0.0011591,              0.0095446,              0.0095446,              0.0095446
                     48,               0.033072,                0.01168,               0.010773,               0.002669,                0.78994,                0.89785,                0.91325,                0.62445,                0.78994,                0.89785,                0.91325,                0.75047,               0.024612,                0.00796,              0.0066781,              0.0029388,              0.0095347,              0.0095347,              0.0095347
                     49,               0.032332,               0.011894,               0.010581,               0.002963,                0.79087,                0.91291,                0.93273,                0.55394,                0.79087,                0.91291,                0.93273,                0.67933,               0.032374,              0.0077505,              0.0061607,              0.0018024,              0.0095248,              0.0095248,              0.0095248
